ID,km
32630,15.757000567874568
762,14.246177590599139
71654,32.43882769000349
43313,25.178523270910006
63871,24.744892234208407
45389,25.579399539777995
2843,13.033432018955422
74528,7.555330592576417
54560,21.493749683820063
41716,21.531415608079037
64944,15.91546469475775
40818,20.500001685530336
39716,18.811026762700735
2470,22.141757920407052
65232,15.188932049160114
76185,16.088578860143404
64631,12.751299659191437
21150,10.927461622020996
8372,15.89178944247014
71340,23.653800559578578
60639,7.102359229867247
74510,23.961007886758516
76484,19.305337183823863
74569,19.799176250244773
63323,33.90548510296176
72612,19.735762694387372
58278,13.132956359731828
43594,28.619120817231103
64228,39.28461614879885
1410,15.620689646505602
68107,45.07813122686875
48427,22.843835011013905
23316,13.018368489506479
1151,19.19512198176358
370,17.964793286508584
82010,26.19463616958948
28780,15.7706773968442
36716,18.00839217919676
16050,14.923131632096947
9567,19.458200916503788
54112,16.925314226776084
25166,9.643633845641348
76153,10.082949338970726
68502,14.736392295686846
1087,15.497060914016503
77436,15.786868217959428
10113,9.813791413681644
25382,13.163625465347984
25531,17.170976759947038
59245,28.69590758306048
65778,24.920777956531442
465,21.358279046678433
28962,32.435650991802795
59152,22.231697401433316
75835,15.323416930642887
37821,17.337314522128
80812,24.50653833028634
26248,25.3644212184453
27494,15.82354260900529
5925,23.567703203749517
78907,20.262239957649765
66720,13.695922846427536
67978,13.32696559861551
45662,22.286436494626816
78832,25.090389661806203
4074,19.500005525108588
73078,19.619802055645053
58855,7.35299490489787
74028,25.21215717089739
75015,34.519634413457155
81552,14.64289560650741
76889,23.238666959113083
66747,13.37499626100638
66889,18.5886915838973
58512,23.338789267008476
58730,19.89602264291368
64213,7.110792232106434
62425,14.584129240044675
32717,8.430869064099097
33902,12.361565904559804
956,19.355600142744358
59783,33.77687881077604
37644,13.268755021459036
79816,14.759405377973081
57991,15.728772009225446
29412,20.280549216986206
74540,13.947141759807613
35695,19.474760035430794
61686,17.893678639927664
76583,14.887748435495576
67125,18.311977527678398
64091,25.778873633850264
43761,20.187494084006804
62453,14.46453125314271
59241,12.448284703912813
29807,12.303123893358892
46998,12.00017566348232
75869,16.796368762663487
70014,13.050200792090415
65614,16.696754722252333
83339,15.175209512127076
72190,11.351513542858783
83628,18.66147494058948
39868,20.998939430994138
29426,7.937728225231724
76660,15.992996925885674
76996,21.375948290858275
61798,19.363455673245515
70535,13.593044014600176
71995,19.440144018120744
29097,14.306954550868582
79431,13.012384158709148
3717,18.565151593840955
58580,20.559228707184943
46091,24.764505332408074
68967,20.672318410685886
82760,33.80277510881315
78188,15.954117391624337
47417,29.39947183499223
46036,13.357244546644445
38055,18.564017971109845
83466,17.34097378138319
65710,17.133269344458125
62887,14.408532277452625
46439,12.798413382264895
46987,25.334799686025374
65690,10.575895818844172
74305,16.142203626894403
49437,16.76382763465566
25157,15.094694001558612
28150,12.56898772838166
16163,20.569026937894893
59501,14.375456578131718
73023,19.148082956000465
23856,18.568810487999475
69767,21.769295614304113
77160,14.165858952415629
841,22.619117603683467
919,22.681485673211675
23202,22.94717113766957
74111,12.735988827375966
70344,20.779156492826868
32605,11.23110050866577
14304,20.25431829908488
74762,11.8928275359797
47211,15.148319934104327
67572,19.007633000221087
29055,18.34636269827251
78872,15.5998650754001
32254,23.619692384182077
25318,21.298737836415555
9313,28.649707811965598
67569,14.047208611963248
58950,25.161947678690783
77402,8.637422577772483
28677,26.93255536595887
30891,25.73332824801775
21894,10.416476928154848
58584,18.708446034940955
68684,13.299058893559266
59510,22.06217837641327
18850,14.836005379688942
75567,11.672338394638338
64874,23.173028365070905
61837,13.594916855427781
65156,11.94558096316995
72013,38.09389048622707
3595,14.690963969413993
81047,14.407440390136138
67986,18.497838842441777
78938,15.288584265225968
74976,11.25773278831089
66461,19.066191066599583
23862,10.171301730177452
6006,21.923444277605498
60478,24.92759086719117
67872,26.792452840719545
81883,25.656149284189684
82525,14.376512791685094
26598,21.180977720083092
31073,13.550481999244832
46475,10.58582249508983
77615,12.663064915385284
79991,16.91405059632265
4354,25.8634947482529
82784,10.559392972813287
45510,15.283382133866285
82485,21.545897148254348
59641,29.920563223914282
58573,11.878665681248279
42637,15.52912818904329
77632,21.337077241791356
37380,12.627345596088581
57749,11.736059566010827
30833,16.97954271392708
16508,9.1236172653102
14037,20.351552050431415
67506,17.218325454394204
79922,21.111834736568525
55829,14.922715758084378
1020,9.466350782848776
11287,18.3672488751882
63530,29.301790856935124
65908,24.814178865528337
59488,24.079780915629733
74980,15.115267822819547
1404,12.603091338388973
479,13.35689189581724
63288,26.432235184061664
11581,15.56906614011915
79604,19.490720258965585
11462,9.835688034309143
73448,12.175702709606002
70185,25.03397293795619
63268,16.325802558515388
30189,13.449141051573035
75654,24.77551547869205
72985,13.91275341651258
15432,15.952947503816304
30752,16.397062577414992
30424,12.537904627875342
66068,3.7035646708961236
34343,13.950751414798653
63481,14.445672009436219
73038,11.024264166875888
83162,9.131240040495122
27057,22.01100615703849
57310,13.060877778509614
69770,13.677549690553874
53459,12.863808556048584
72332,17.96739714668768
5465,11.672355449923842
63388,7.74729494364321
67842,17.75463947743428
68509,11.022908290871245
63770,21.37796263945465
72129,12.401657697045765
46087,27.43229774672047
63867,15.186664812518545
75831,8.059987737995353
58934,11.115873140551331
43231,13.106397102104381
12891,16.262302106288242
63254,26.212175943839192
64125,27.443482181337615
29339,11.337915798997257
44981,20.0841091544303
70422,13.677434399585911
50239,17.732991482067
73573,12.471948717661668
4765,22.550527843454834
77888,27.416341810220537
70280,23.688921038506017
69433,24.26734515235164
