ID,km,average_speed
34257,10.893629420927343,8.259006384327023
325,6.961710567523429,6.927075191565601
74222,9.269775615778604,10.097794788429852
61235,11.646427045389549,9.445601821078304
39760,9.454044285986003,7.692468906416601
59064,13.064851411675017,10.493856555562264
77954,16.688600468663893,9.770843365728274
63657,7.956091905735815,8.410245143483948
42148,19.233320349994525,12.400593391356884
71886,12.031705764536184,10.453263044775138
36220,5.567202525711729,6.206468813502485
31503,15.122498625818402,8.37811558217086
47112,22.36971576907516,13.540990174984962
58437,6.415136288048533,6.415136288048533
32323,17.058262674751766,12.570569399227537
63994,6.235675277786144,6.563868713459099
78060,12.745086760096415,9.684716383051988
64920,23.62608972511148,17.13276992393871
58696,6.783814414091846,5.89896905573204
77108,8.386695005050962,8.079667634923856
64791,13.337215340011129,9.96802342302775
77694,15.653919203535594,15.316946383107235
63356,42.89837163996342,13.968860840105314
69094,7.242014838264982,6.431629518885419
60302,21.960119124884358,13.572385120447686
39796,7.1710530877148155,8.37739846695656
25307,8.235569877136237,7.5279432149325745
77744,5.744955618984322,5.626792966683959
78080,3.500220007864898,3.7556008668078302
45500,9.963529158698499,5.057629014567766
59237,5.36698024944515,5.783383889488308
4031,6.780637582710034,6.62818923041059
31938,9.306571169265203,8.287240578152451
68926,6.263783275580973,6.517984678023906
60349,4.615359555704962,2.776991309088425
3613,11.063608868400474,8.829695824741
74592,13.96234137763798,10.58555070328884
18367,7.339649210033978,6.495264787640688
11731,8.875156850882277,6.9554520774939474
24496,15.94783455213161,12.401115514876835
69635,5.252268787971276,5.6054095922852465
61570,11.095058463423344,9.426557742925526
873,7.406398594887766,6.565956201141637
74806,10.407916909719951,9.49627455266419
24300,11.344895556396116,6.32379908383284
73436,12.274662454308057,9.242968715593417
22945,8.994747576183858,6.294434972836849
24679,8.002400189894647,7.938889077276436
68590,10.8423152187846,7.948911450721848
12724,8.706286959568583,7.365725008095247
46248,20.8389543520679,12.583909632891244
51124,5.665097792064566,5.757213203317649
55984,11.272325613080683,10.745782281297124
77540,14.878691364360579,9.6302209478062
48597,6.019488796872139,5.662736403454505
22446,5.561230188410748,4.696984956427996
13144,6.8471683759647135,7.458789080571583
81986,4.993736900927005,5.487622968051654
31164,4.41065393251618,4.561172629282502
67508,5.811786435447585,4.823059282529116
77980,21.9845888734107,15.647394215950676
68222,30.605981719880482,16.965621795942617
65454,5.801228244419388,6.460165082872369
70103,10.47708554635144,8.947126854271085
66388,6.484059833174051,8.176620218378375
33164,9.119930750000606,7.481485438884828
44586,8.409714192112704,7.645194720102459
28569,8.36617333916579,7.3971470726487984
49785,4.930688142092117,4.791728029244039
62226,5.109212036484422,4.815468460400021
39374,19.991491283327417,13.109174612017979
71696,6.8564026297420755,6.040883374222092
73602,28.891718804411514,15.524835467174375
6591,5.721066843713777,4.79955272123639
546,9.013772708647318,7.069625653841034
60197,2.874041533761936,2.6910501252452583
36043,8.635414469144802,7.608294686471191
68155,10.030757253019507,8.024605802415605
60545,11.7857639872148,8.01752652191483
71348,12.691277389704153,10.978613658913627
59663,8.162895261664008,7.537299410585418
61047,19.96367321913182,13.758561832620137
76220,12.711127343343167,10.31747349297335
73329,6.338071731167588,5.820084234313671
79781,17.702760736042595,14.128300667232716
8525,13.898907099663216,8.19994519154172
83355,10.276778887693375,7.838885497859173
539,3.9569466478301725,4.436038842858938
1037,9.506778176304216,6.6527488987433285
70528,13.776381733596688,9.039620560102815
80292,12.988288028842142,10.72525848789607
41913,7.059569456972015,8.123785335986208
24991,3.625800667243755,3.907112787978184
29490,7.122526907428027,7.1012232377148825
72229,6.14351091468176,6.494197584230189
15527,14.101186202000914,6.65464190750397
38852,10.23823875476731,6.406907856550258
52507,11.467845164877492,8.59014619091947
30441,5.283776537697916,5.844885550550792
65283,10.568060447110865,10.61050245693862
83448,14.01537380019007,9.8353500352211
61713,4.422963265912957,5.3482022562429945
33954,17.162452138382466,13.987328556138928
67578,9.318316515128657,8.604170374080017
42909,15.112450060016771,11.937164344405032
63150,10.718137394940351,9.91502071687359
46884,12.798742374221831,10.34659852402735
81181,19.163101540712255,10.675822585355016
73393,4.612912821847048,4.617530352199247
59173,11.35093107387363,9.42768361617411
69718,23.386770968431595,16.007372326099656
58901,5.631062348418744,7.173327832380565
57840,7.987804815092932,6.933858346434837
48542,9.765949361430698,8.484751834431536
67025,43.57242534290105,12.143931254989145
865,11.16000797618335,9.140055672549837
60183,14.176366944144808,11.101305359549576
1488,5.63261295408095,5.5934587428807845
6058,4.9587433819535995,3.6867980534971005
45918,5.646601841841593,5.4715134126372025
36594,6.920291481799486,7.680678670143713
21887,10.51384826743849,8.39764238613298
48207,8.348819738257578,7.494452188741094
12705,21.204356681717858,9.669109293988992
67916,3.798594049138251,4.863756785068182
59201,6.074639565350725,4.840350251275479
15869,13.369871554245638,10.47795576351539
